Product code,Language,Product id,Category,List price,Price,weight,Quantity,Date added,Free shipping,Zero price action,Detailed Image,Product name,Description,Meta keywords,Meta description,Page title,Features,Options,Secondary categories,Short description,Status
N010718210004610,en,4754,Xbox///Xbox 360///In Stock,899,899,150,302,01/01/1970 03:00:00,N,R,exim/backup/images/GHOST_RECON_FUTUTE_SOLDIER_CLASSICSx360.jpg#{[en]:;},XB360 GHOST RECON FUTURE SOLDIER CLASSICS,"<p><span style=""background-color: initial;"">Armed with the most advanced combat technology, the Ghosts are an untraceable unit of soldiers who track down the highest-value targets in the highest-risk conflict areas around the world. In the near future, 4 of these elite soldiers serve as the tip of the spear in a hidden war raging across the globe.</span></p>","Xbox, XB360, Xbox 360, Xbox game","Join the Legendary Ghosts - Control Sergeant Kozak and his unit, across 14 missions in 8 spectacular locales, from Africa to the Arctic Circle.",BT Games: Ghost Recon Future Soldier,Publication Year: T[2013]; Publisher: T[Ubisoft]; Has Adult Content: C[Y]; Genre: T[Shooter]; Format: S[Xbox 360]; Age Limit: O[16],,,"Join the Legendary Ghosts - Control Sergeant Kozak and his unit, across 14 missions in 8 spectacular locales, from Africa to the Arctic Circle.",A
N010711610006312,en,4753,Xbox///Xbox 360///In Stock,899,899,150,114,01/01/1970 03:00:00,N,R,exim/backup/images/gow_judgment.jpg#{[en]:;},XB360 GEARS OF WAR JUDGEMENT,"<p><span style=""background-color: initial;"">Set years prior to the events of the previous Gears of War trilogy, Judgment centers on Kilo Squad, a troop of soldiers led by Damon Baird and Augustus Cole. They are joined by newcomers to the Gears series Sofia Hendrick and Garron Paduk, as they attempt to save the besieged city of Halvo Bay from a terrifying new enemy. The planet Sera is on the brink of annihilation by an unstoppable new Locust menace, giving you a new vantage point into one of the richest and most acclaimed sagas in gaming.A new Mission Declassification system lets players experience more challenging gameplay scenarios and achievements by uncovering critical information during the course of the campaign.</span></p>","Xbox, XB360, Xbox 360, Xbox game","Get ready for the most intense and challenging Gears game yet, with a campaign that takes you back to the immediate aftermath of Emergence Day, the defining event of the Gears of War universe for the very first time, and tests your mettle in highly compet",BT Games: Gears of War Judgment,Publication Year: T[2013]; Publisher: T[Microsoft]; Has Adult Content: C[Y]; Genre: T[Shooter]; Format: S[Xbox 360]; Age Limit: O[18],,,"Get ready for the most intense and challenging Gears game yet, with a campaign that takes you back to the immediate aftermath of Emergence Day, the defining event of the Gears of War universe for the very first time, and tests your mettle in highly competitive new multiplayer modes.",A
N040724699008433,en,4755,Hardware///Gioteck///In Stock,899,899,2050,99,01/01/1970 03:00:00,N,R,exim/backup/images/gioteck_bp1_play_andamp_charge_pack_xbox_360_Vidzc9eejrhrhw_a.jpg#{[en]:;},XB360 GIOTECK BATTERY PACK+PLAY+CHARGE CABLE,"<p><span style=""background-color: initial;"">The BP-1 Battery Pack is ergonomically designed to seamlessly integrate with your Xbox 360® Wireless Controller. While using only the best materials available to ensure a high quality finish, it is also optimised to give you the best performance possible out of every charge. 4 hours charge time, 6 hours game time, 2 metre play & charge cable.</span></p>","Xbox, XB360, Xbox 360, Gioteck","When using an Xbox 360 Wireless Controller , the last thing you want is to run out of charge during intense deep missions or a huge online battle!",BT Games: Gioteck Play & Charge Pack,Publisher: T[Gioteck]; Publication Year: T[2013]; Has Adult Content: C[N]; Genre: T[Hardware]; Format: S[Xbox 360],,,"When using an Xbox 360 Wireless Controller , the last thing you want is to run out of charge during intense deep missions or a huge online battle!",A
N040724699006733,en,4756,Hardware///Gioteck///In Stock,899,899,2050,111,01/01/1970 03:00:00,N,R,exim/backup/images/22958358_main_zoom.jpeg#{[en]:;},XB360 GIOTECK EX-03 WIRED MONO HEADSET,"<p><span style=""background-color: initial;"">Like all Gioteck products, the EX-03 follows one important rule: form follows function, the body is designed with comfort as a priority, and wired sound through the inline controller has been improved over standard with a sound chamber design producing a fuller sound overall.Anti-Twist wires together with intuitive inline controls close to the controller jack with a push/pull mute function complete the EX-03.</span></p>","Xbox, XB360, Xbox 360, Gioteck","Lightweight in design, comfortable over-the-ear wired rubber earhook and ergonomic body enables you to focus on your game in comfort.",BT Games: Gioteck EX03 Headset,Publisher: T[Gioteck]; Publication Year: T[2013]; Has Adult Content: C[N]; Genre: T[Hardware]; Format: S[Xbox 360],,,"Lightweight in design, comfortable over-the-ear wired rubber earhook and ergonomic body enables you to focus on your game in comfort.",A
N040724699008432,en,4757,Hardware///Gioteck///In Stock,899,899,2050,119,01/01/1970 03:00:00,N,R,exim/backup/images/e5suni-11-m0_v2_2-front-zoom.jpg#{[en]:;},XB360 GIOTECK EX-05S WIRED STEREO HEADSET MULTI INCL PS4,"<p><span style=""background-color: initial;"">Utilising 40mm drivers with sure fit over-ear enclosures provides superior stereo game sound coupled with crystal-clear voice communication to create a rich and detailed audio environment for gaming.Designed with superior materials for the perfect fit and finish; a breathable mesh headband with Stainless Steel accents, sturdy metal adjusters and padded full-size ear cups that provide outstanding comfort for serious gamers!</span></p>","Xbox, XB360, Xbox 360, Gioteck",The EX-05s High Definition Stereo Headset; tough to beat.,BT Games: Gioteck EX05 Headset,Publisher: T[Gioteck]; Publication Year: T[2013]; Has Adult Content: C[N]; Genre: T[Hardware]; Format: S[Xbox 360],,,The EX-05s High Definition Stereo Headset; tough to beat.,A
N040724699006231,en,4758,Hardware///Gioteck///In Stock,899,899,2050,200,01/01/1970 03:00:00,N,R,exim/backup/images/xbox_xc-3_HG_hdmi.jpg#{[en]:;},XB360 GIOTECK XC3 HIGH SPEED HDMI CABLE,"<p><span style=""background-color: initial;"">Featuring top quality, high bandwidth cable that produces sharper textures, and more realistic shading... Ideal for the HD gamer.</span></p>","Xbox, XB360, Xbox 360, Gioteck","1.8 Metre 1080P High Quality Transfer Our bespoke cable designed from the ground up, bringing optimal picture quality & sound with true HD signal up to 1080P.",BT Games: Gioteck XC3 HDMI Cable,Publisher: T[Gioteck]; Publication Year: T[2013]; Has Adult Content: C[N]; Genre: T[Hardware]; Format: S[Xbox 360],,,"1.8 Metre 1080P High Quality Transfer Our bespoke cable designed from the ground up, bringing optimal picture quality & sound with true HD signal up to 1080P.",A
N010717001001275,en,4759,Xbox///Xbox 360///In Stock,899,899,150,208,01/01/1970 03:00:00,N,R,exim/backup/images/GRAND_THEFT_AUTO_EPISODES_FROM_LIB_CLASSICS.jpg#{[en]:;},XB360 GRAND THEFT AUTO EPISODES FROM LIB CLASSICS,"<p><span style=""background-color: initial;"">The Ballad of Gay Tony: The Ballad of Gay Tony injects Liberty City with an overdose of guns, glitz, and grime. As Luis Lopez, part-time hoodlum and full-time assistant to legendary nightclub impresario Tony Prince (aka 'Gay Tony'), players struggle with the competing loyalties of family and friends, and with the uncertainty about who is real and who is fake in a world in which everyone has a price.</span></p>","Xbox, XB360, Xbox 360, Grand Theft Auto, GTA","Grand Theft Auto: Episodes from Liberty City is the brand new Grand Theft Auto, containing two complete games, The Ballad of Gay Tony, and The Lost and The Damned, now together in one box.",BT Games: GTA Episodes from Liberty,Publication Year: T[2011]; Publisher: T[Rockstar]; Has Adult Content: C[Y]; Genre: T[Action]; Format: S[Xbox 360]; Age Limit: O[18],,,"Grand Theft Auto: Episodes from Liberty City is the brand new Grand Theft Auto, containing two complete games, The Ballad of Gay Tony, and The Lost and The Damned, now together in one box.",A
N010717001001277,en,4760,Xbox///Xbox 360///In Stock,899,899,150,184,01/01/1970 03:00:00,N,R,exim/backup/images/GTA_IV_Classics.jpg#{[en]:;},XB360 GRAND THEFT AUTO IV CLASSICS,"<p><span style=""background-color: initial;"">Grand Theft Auto IV is a brand new adventure in the GTA universe following the experiences of Nikolai ""Niko"" Bellic, a new immigrant from an undisclosed eastern European country whose troubled past and the persuasion of his cousin Roman have brought him to the fictional Liberty City. Unfortunately, Niko's search for the American Dream and a much needed fresh start, hits an immediate snag when the rags to riches story Roman spun to pique Niko's interest is exposed as not only a complete fabrication, but a ploy to enlist Niko's well-known skills as a tough guy against the ample list of enemies clamoring for Roman's debt-ridden blood. Because Roman is the only person Niko knows in Liberty City he begrudgingly accepts his role as Roman's protector despite the deception. But as time goes on Niko comes into his own, and his experience on the wrong side of the tracks proves more valuable than he could have ever imagined as he fights for survival and later supremacy on the crime ridden streets of Liberty City.</span></p>","Xbox, XB360, Xbox 360, Grand Theft Auto, GTA","What does the American Dream mean today? For Niko Bellic, fresh off the boat from Europe, it is the hope he can escape his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunit",BT Games: Pre-Played® GTA IV,Publication Year: T[2011]; Publisher: T[Rockstar]; Has Adult Content: C[Y]; Genre: T[Action]; Format: S[Xbox 360]; Age Limit: O[18],,,"What does the American Dream mean today? For Niko Bellic, fresh off the boat from Europe, it is the hope he can escape his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity.",A
N010717001005945,en,4761,Xbox///Xbox 360///In Stock,899,899,150,349,01/01/1970 03:00:00,N,R,exim/backup/images/Grand_Theft_Auto_Vx360.jpg#{[en]:;},XB360 GRAND THEFT AUTO V,"<p><span style=""background-color: initial;"">Los Santos: a sprawling sun-soaked metropolis full of self-help gurus, starlets and fading celebrities, once the envy of the Western world, now struggling to stay afloat in an era of economic uncertainty and cheap reality TV.Switch between the interconnected lives of Michael, Trevor and Franklin as they embark on a series of heists across Los Santos and Blaine County in the biggest, deepest and richest open world experience yet, with game world enhancements that include new wildlife, upgraded weather and damage effects, and an array of new details to discover.The new generation upgrades also extend to Grand Theft Auto Online, an ever-evolving Grand Theft Auto universe. Rise through the criminal ranks by banding together to complete Jobs for cash, purchase properties, vehicles and character upgrades, compete in traditional competitive modes, or create your own content to play and share with the Grand Theft Auto community.All new content and gameplay created since the launch of Grand Theft Auto Online, including an extensive array of new Jobs, an arsenal of new weapons, scores of new vehicles, new properties and player customizations will also be available for the PlayStation 4 system with much more to come. In addition, the current community of players will have the ability to transfer their Grand Theft Auto Online characters and progression to their choice of PlayStation 4, Xbox One or PC.</span></p>","Xbox, XB360, Xbox 360, Grand Theft Auto, GTA","Los Santos: a sprawling sun-soaked metropolis full of self-help gurus, starlets and fading celebrities, once the envy of the Western world, now struggling to stay afloat in an era of economic uncertainty and cheap reality TV.",BT Games: GTA V,Publication Year: T[2015]; Publisher: T[Rockstar]; Has Adult Content: C[Y]; Genre: T[Action]; Format: S[Xbox 360]; Age Limit: O[18],,,"Los Santos: a sprawling sun-soaked metropolis full of self-help gurus, starlets and fading celebrities, once the envy of the Western world, now struggling to stay afloat in an era of economic uncertainty and cheap reality TV.",A
N010704008006656,en,4762,Xbox///Xbox 360///In Stock,899,899,150,139,01/01/1970 03:00:00,N,R,exim/backup/images/grid_2_classics.jpg#{[en]:;},XB360 GRID 2 CLASSICS,"<p><span style=""background-color: initial;"">The race returns in the highly-anticipated sequel to the critically acclaimed, BAFTA award-winning Race Driver®: GRID which set new standards for damage, AI, visuals and introduced Flashback, the time rewind feature now adopted by many racing titles. GRID®2™ will raise the gameplay and technological bar for motorsport gaming whilst remaining true to the series' core value that sets it apart from the competition – it’s all about the race.</span></p>","Xbox, XB360, Xbox 360, Xbox game","Players will be invited to be fast, be first and be famous as they feel the aggressive exhilaration that lies at the heart of the GRID racing experience.",BT Games: Grid 2,Publication Year: T[2012]; Publisher: T[Codemasters]; Has Adult Content: C[N]; Genre: T[Racing]; Format: S[Xbox 360]; Age Limit: O[7],,,"Players will be invited to be fast, be first and be famous as they feel the aggressive exhilaration that lies at the heart of the GRID racing experience.",A
